Semana,Horário,Localidade,Waze,Mes_Referencia,data
Primeiro Sabado, 17h , Jd. Santa Rita ,"https://www.waze.com/en/live-map/directions/br/sp/r.-bueno-brandao,-262?place=ChIJjQfT2d6KzpQRdVyQItfq22I",Data Maio,2026-05-02
Quarto Domingo, 16h , Jd. Santo Afonso ,"https://www.waze.com/en/live-map/directions/br/sp/av.-marginal,-170?place=EkpBdi4gTWFyZ2luYWwsIDE3MCAtIEphcmRpbSBTYW50byBBZm9uc28sIEd1YXJ1bGhvcyAtIFNQLCAwNzIxNS0wMjAsIEJyYXppbCIxEi8KFAoSCR0k1FSGYc6UEWRfJyPehsEVEKoBKhQKEgkbgXC4h2HOlBHWkrd6xreKRA",Data Maio,2026-05-24
Terceiro Sabado, 17h , Jd. São Domingos ,"https://www.waze.com/en/live-map/directions/br/sp/estr.-elenco,-2005?place=ChIJbbvzVheLzpQRgl3VMuto-Ow",Data Maio,2026-05-16
Terceiro Sabado, 17h , Jd. São Paulo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-uganda,-156?place=ChIJedZlkyX1zpQRwWjyVaZbQxg",Data Maio,2026-05-16
Terceiro Sabado, 19:30h , Jd. Silvia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-gabriel-da-palha,-49?place=ChIJr4nn5iiLzpQRCces2bmipkk",Data Maio,2026-05-16
Segundo Sabado, 17h , Jd. Vila Galvão ,"https://www.waze.com/en/live-map/directions/br/sp/r.-artur-rodrigues-alcantara,-333?place=ChIJA4gpWJj1zpQRsxM7HRuUpHM",Data Maio,2026-05-09
Segundo Sabado, 19h , Jd. Vila Rica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-felicidade-batista-cardoso,-8?place=ChIJiUdWZcaLzpQRFD0VG90tuO8",Data Maio,2026-05-09
Primeiro Sabado, 17h , Jd. Vila Rica 2 ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eduardo-abad,-6?place=ChIJD2j2asOLzpQRH5d_uBoXN2k",Data Maio,2026-05-02
Segundo Sabado, 17h , Jd. Vitória ,"https://www.waze.com/en/live-map/directions/br/sp/r.-altamira,-18?place=ChIJTb8KyDuLzpQRHrzC99Niqs4",Data Maio,2026-05-09
Quarto Domingo, 16h , Lavras ,"https://www.waze.com/en/live-map/directions/br/sp/r.-barra-dos-mendes,-388?place=ChIJfbKXm3mJzpQRYWfZY0x7KF4",Data Maio,2026-05-24
Primeiro Sabado, 16h , Macedo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-consul-orestes-correa,-610?place=ChIJjfzfEk31zpQRt1TOu53N1xM",Data Maio,2026-05-02
Quarto Domingo, 16h , Maria Paula ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-paula-mota,-961?place=ChIJFRdDszeJzpQROPli0PPBCOY",Data Maio,2026-05-24
Quarto Sabado, 17h , Novo Recreio ,"https://www.waze.com/en/live-map/directions/br/sp/av.-palmira-rossi,-2983?place=ChIJcYKbkVKLzpQRnzqZPj7e1qU",Data Maio,2026-05-23
Segundo Sabado, 19:30h , Orquidiama ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pedra-do-sino,-137?place=ChIJeaVPt7iIzpQR4hhlXL997Ok",Data Maio,2026-05-09
Terceiro Sabado, 17h , Ponte Grande ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eunice,-117?place=ChIJ5ZQpTnxfzpQRepz_yltgLLU",Data Maio,2026-05-16
Terceiro Sabado, 17h , Pq. Continental I ,"https://www.waze.com/en/live-map/directions/br/sp/av.-koki-koga,-245?place=ChIJLcRQ3ff0zpQREc051CvMNoQ",Data Maio,2026-05-16
Primeiro Sabado, 17h , Pq. Continental III ,"https://www.waze.com/en/live-map/directions/br/sp/r.-shirlei-neves-gomes,-119?place=ChIJW5ZgJmD0zpQRwzZooaBLAgU",Data Maio,2026-05-02
Primeiro Sabado, 17h , Pq. Continental V ,"https://www.waze.com/en/live-map/directions/br/sp/r.-benedito-caetano-da-cruz,-512?place=ChIJewqoScT0zpQRlnS0HbTq4zU",Data Maio,2026-05-02
Primeiro Sabado, 17h , Pq. Das Nações ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ilha-bela,-153?place=ChIJkQmgV3BizpQRHcsXVnInovM",Data Maio,2026-05-02
Segundo Sexta, 19:30h , Pq. Flamengo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-20,-39?place=ChIJU2cYgMz0zpQRFrVqhKQeFTw",Data Maio,2026-05-08
Quarto Sabado, 17h , Pq. Industrial ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pouso-redondo,-77?place=ChIJx85dPAZizpQRhRmzLgtawfc",Data Maio,2026-05-23
Quarto Domingo, 16h , Pq. Jandaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-porto-alegre,-224?place=ChIJvZXKIVlizpQRGNsCzPYht7A",Data Maio,2026-05-24
Segundo Sabado, 17h , Pq. Mikail II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jorcelino-manoel-machado,-144?place=ChIJVYl6_j6LzpQRdi8sSySPjQE",Data Maio,2026-05-09
Primeiro Domingo, 16h , Pq. Primavera ,"https://www.waze.com/en/live-map/directions/br/sp/rua-andromeda,-534?place=ChIJaZBzyROLzpQRWrbLSxvU3Us",Data Maio,2026-05-03
Terceiro Sabado, 17h , Pq. Resid. Bambi ,"https://www.waze.com/en/live-map/directions/br/sp/r.-hibisco,-157?place=ChIJIbvdqQOJzpQRXL1z_qp1rOI",Data Maio,2026-05-16
Primeiro Sabado, 17h , Pq. Santo Antônio ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-jose,-148?place=ChIJ32f1cqf1zpQRo_BxK6qIdS8",Data Maio,2026-05-02
Primeiro Domingo, 16h , Pq. São Luiz ,https://ul.waze.com/ul?place=ChIJUc1NNRqKzpQRw_553QDq_6A&ll=-23.43187060%2C-46.44653440&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Data Maio,2026-05-03
Segundo Sabado, 17h , Pq. São Miguel ,"https://www.waze.com/en/live-map/directions/br/sp/r.-teofilo-castanho,-281?place=ChIJXywxBF1izpQRx37enfeozsw",Data Maio,2026-05-09
Último Sabado, 17h , Pq. Stos Dumont ,"https://www.waze.com/en/live-map/directions/br/sp/r.-dos-dantas,-440?place=ChIJbceYerCLzpQRcQemoGB0jC0",Data Maio,2026-04-25
Segundo Sabado, 17h , Pq. Uirapuru ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piquete-carneiro,-40?place=ChIJBcTuCOhhzpQRjlWkiGkGoSY",Data Maio,2026-05-09
Quarto Sabado, 19:30h , Recreio S. Jorge ,"https://www.waze.com/en/live-map/directions/br/sp/av.-palmira-rossi,-303?place=ChIJ25hXlLL0zpQRU2e0-lUyw8E",Data Maio,2026-05-23
Quarto Sabado, 19h , Sesi-Cocaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-conceicao-dos-ouros,-418?place=ChIJzx4uOsn0zpQR2IDFyqPeKWw",Data Maio,2026-05-23
Último Sabado, 19:30h , Sit. S. Francisco ,"https://www.waze.com/en/live-map/directions/br/sp/r.-seis,-336?place=ChIJly_6-vlizpQRZ8BdSulGgfw",Data Maio,2026-04-25
Terceiro Sabado, 17h , Vila Alzira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gianeto,-25?place=ChIJTz_RRBpizpQRdMpYL1V7gkU",Data Maio,2026-05-16
Último Sabado, 17h , Vila Anny ,"https://www.waze.com/en/live-map/directions/br/sp/r.-constantina,-128?place=ChIJ_aiE2QhjzpQR8u1KMzBYoWA",Data Maio,2026-04-25
Segundo Sabado, 17h , Vila Barros ,"https://www.waze.com/en/live-map/directions/br/sp/r.-fortaleza-de-minas,-199?place=ChIJccAejr6KzpQRm8pzgUfyECo",Data Maio,2026-05-09
Último Sabado, 17h , Vila Carmela ,"https://www.waze.com/en/live-map/directions/br/sp/r.-manoel-reis-da-silva,-444?place=ChIJuRcePU6IzpQRijZru7PsWHY",Data Maio,2026-04-25
Quarto Domingo, 16h , Vila Das Malvinas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-um,-14?place=ChIJnwT1IAKLzpQRURK2YPt1bXc",Data Maio,2026-05-24
Quarto Domingo, 16h , Vila Endres ,"https://www.waze.com/en/live-map/directions/br/sp/av.-guilherme-schmidt,-7?place=ChIJC2RWQoZfzpQReaoQfphnfME",Data Maio,2026-05-24
Segundo Sabado, 17h , Vila Flora ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gen.-camara,-86?place=ChIJuYgPbHdfzpQRoKGFIRVAa7A",Data Maio,2026-05-09
Quarto Domingo, 16h , Vila Galvão ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-francisco,-180?place=ChIJ2wMve7H1zpQRJtCCpNA7RWQ",Data Maio,2026-05-24
Quarto Sabado, 17h , Vila Operária ,"https://www.waze.com/en/live-map/directions/br/sp/r.-vicente-de-paula,-92?place=ChIJR4y7Vuz0zpQRDxqpqjBwzKc",Data Maio,2026-05-23
Terceiro Sabado, 17h , Vila Paraíso ,"https://www.waze.com/en/live-map/directions/br/sp/av.-santa-helena,-889?place=ChIJVTONIAxizpQRvc0iez4Wl8A",Data Maio,2026-05-16
Segundo Sabado, 17h , Vila São João ,"https://www.waze.com/en/live-map/directions/br/sp/viela-servidao-particular-de-passagem,-11?place=ChIJRfBnVrSLzpQR6D1CL2tpc1w",Data Maio,2026-05-09
Quarto Domingo, 16h , Vila São José ,"https://www.waze.com/en/live-map/directions/br/sp/r.-santa-maria,-245?place=ChIJubLN9DmIzpQRnLGULUT0R3k",Data Maio,2026-05-24
Terceiro Sabado, 17h , Vila Torre ,"https://www.waze.com/en/live-map/directions/br/sp/r.-dos-eucaliptos,-38?place=ChIJyUUa0bf0zpQRT6TN5-Uz7CA",Data Maio,2026-05-16
Quarto Domingo, 16h , Vila União ,"https://www.waze.com/en/live-map/directions/br/sp/r.-topazio,-154?place=ChIJF_bNDAyLzpQRiQ8PviO52F8",Data Maio,2026-05-24
Último Sabado, 17:h , Vila Dinamarca ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ibirapoa,-43?place=ChIJaRwECNWJzpQR5k4YTw5O9Ys",Data Maio,2026-04-25
Primeiro Domingo, 16h , Vila N. Bonsucesso ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jacaraci,-140?place=ChIJIY2SDrOJzpQRR3uuYJTA2TY",Data Maio,2026-05-03
Último Sabado, 17h , Vila S. João Batista ,"https://www.waze.com/en/live-map/directions/br/sp/r.-capela-do-alto,-28?place=ChIJIQNdyNT0zpQRbUEbgFWBBuA",Data Maio,2026-04-25
Primeiro Domingo, 16h , Agua Azul ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJFZ3jGQCJzpQRHEKOqOr7_vM,Data Junho,2026-06-07
Primeiro Domingo, 16h , Bom Clima ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil-bom-clima?place=ChIJuQKcQwD1zpQRW0v63AnWtSM,Data Junho,2026-06-07
Primeiro Domingo, 16h , Bairro Pimentas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-corumba,-157?place=ChIJ28dXgzZizpQRil9JyOOQ1iE",Data Junho,2026-06-07
Terceiro Sabado, 17h , Cabuçu - Km18 ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-guilhermina,-285?place=ChIJ385oXJ70zpQRnCB-5ACm2MQ",Data Junho,2026-06-20
Último Domingo, 16h , Cid. Aracilia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-cambera,-550?place=ChIJj6u5jqhizpQR35pXYgFyN9Q",Data Junho,2026-05-31
Primeiro Sabado, 17h , Cid. Jard. Cumbica ,"https://www.waze.com/en/live-map/directions/br/sp/av.-joao-veloso-da-silva,-366?place=ChIJbfY1AYSKzpQRKXcsiIN7dBY",Data Junho,2026-06-06
Primeira Sexta, 19:30h , Cid.Nova Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-caxambu,-181?place=ChIJNX0MFdOLzpQRWByPv-b3ZDw",Data Junho,2026-06-05
Segundo Sabado, 17h , Cid. Sob. Mar. Clara ,https://www.waze.com/en/live-map/directions/br/sp/maria-clara?place=ChIJLWIHVWGJzpQRLWFq6R6Hu4Y,Data Junho,2026-06-13
Primeiro Domingo, 16h , Cid. Soberana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ponta-grossa,-574?place=ChIJhQ8P7diLzpQRxPWS_tt4dc0",Data Junho,2026-06-07
Terceiro Sabado, 17h , Cid. Soinco ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJiVVcf3SKzpQRxHvOxjcjAiw,Data Junho,2026-06-20
Quarto Sabado, 17h , Cid. Tupinambá ,"https://www.waze.com/en/live-map/directions/br/sp/r.-perola-negra,-312?place=ChIJGw6ExFNizpQR0dsbpvl1xxQ",Data Junho,2026-06-27
Primeiro Domingo, 16h , Cumb. Base Aérea ,"https://www.waze.com/en/live-map/directions/br/sp/r.-cap.-aviador-heitor-luis-jordao,-76?place=ChIJCyxOrXuKzpQRIGH9gCgkJB8",Data Junho,2026-06-07
Primeiro Domingo, 16h , Estela Maris ,"https://www.waze.com/en/live-map/directions/br/sp/rua-mato-grosso,-48?place=ChIJtbtd0371zpQR5ev3D-ts5hw",Data Junho,2026-06-07
Último Sabado, 17h , Gopouva ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil-gopouva-%28central-de-guarulhos%29?place=ChIJH0WY1H71zpQRBtLVbppM5Ys,Data Junho,2026-05-30
Terceira Sexta, 19:30h , Guarulhos  Centro ,"https://www.waze.com/en/live-map/directions/br/sp/r.-marcolina-moreira,-239?place=ChIJq_ZIjWD1zpQRQGkLLtejPt4",Data Junho,2026-06-19
Terceiro Sabado, 17h , Inocoop ,"https://www.waze.com/en/live-map/directions/br/sp/r.-itagi,-311?place=ChIJpzLwgfKJzpQR5FmENUTPqNg",Data Junho,2026-06-20
Último Domingo, 16h , Inocoop II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-petronio-portela-nunes,-79?place=ChIJ60GnvsSJzpQRAG-SwvY0YMo",Data Junho,2026-05-31
Primeiro Sabado, 17h , Jd. Acácio ,"https://www.waze.com/en/live-map/directions/br/sp/r.-nestor-joao-de-oliveira,-87?place=ChIJexfh_DOLzpQRUWowli6pJrg",Data Junho,2026-06-06
Quarto Sabado, 19:30h , Jd. Adriana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-pedro-fernandes-biscaino,-4?place=ChIJCSE88Nn0zpQRxa5FYVgrrwQ",Data Junho,2026-06-27
Último Domingo, 16h , Jd. Alamo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-gentil-da-silva-leite-filho,-91?place=ChIJSYvJjBCIzpQRXi1mR__5lXY",Data Junho,2026-05-31
Último Domingo, 16h , Jd. Alice ,"https://www.waze.com/en/live-map/directions/br/sp/r.-florindo-felipe,-39?place=ChIJ_-7XaP5izpQRXdE5DZZqIxQ",Data Junho,2026-05-31
Primeiro Sabado, 19h , Jd. Almeida Prado ,"https://www.waze.com/en/live-map/directions/br/sp/r.-emidio-gualberto,-146?place=ChIJKUFvD9CKzpQRXtTDCHlk05Y",Data Junho,2026-06-06
Terceiro Sabado, 17h , Jd. Alvorada ,"https://www.waze.com/en/live-map/directions/br/sp/r.-guaratuba,-699?place=ChIJnyCLXMuKzpQRcZgLAMk9fow",Data Junho,2026-06-20
Primeiro Domingo, 16h , Jd. Angélica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-teofilo-castanho,-281?place=ChIJXywxBF1izpQRx37enfeozsw",Data Junho,2026-06-07
Primeiro Sabado, 17h , Jd. Arapongas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-boca-da-mata,-186?place=ChIJrfwfCSBizpQRKjSYCPcX-Ls",Data Junho,2026-06-06
Primeiro Domingo, 16h , Jd. Bela Vista ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piratininga,-57?place=ChIJI0lOkdSKzpQRN6qm9PT3riE",Data Junho,2026-06-07
Quarto Domingo, 16h , Jd. Brasil ,"https://www.waze.com/en/live-map/directions/br/sp/r.-japaratinga,-135?place=ChIJ4WS8xTxizpQRJMKbsyjKAc0",Data Junho,2026-06-28
Primeiro Sabado, 17h , Jd. Crepúsculo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-do-abacate,-55?place=ChIJ33tQWR71zpQRdXBg33P1vsQ",Data Junho,2026-06-06
Quarto Sabado, 17h , Jd. Cumbica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-envira,-92?place=ChIJqS7wHANizpQRyXQ_76rWDMA",Data Junho,2026-06-27
Quarto Domingo, 16h , Jd. das Nações ,"https://www.waze.com/en/live-map/directions/br/sp/av.-estados-unidos,-132?place=ChIJO-r-JG2KzpQRbNMXKw11a_c",Data Junho,2026-06-28
Primeiro Sabado, 17h , Jd. Das Olivas ,"https://www.waze.com/en/live-map/directions/br/sp/r.-tres,-263-jardim-joemi?place=ChIJ913U_gJjzpQRfRZSoaPEPlw",Data Junho,2026-06-06
Primeiro Domingo, 10h , Jd. Do Triunfo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-lagoa-seca,-771?place=ChIJx3rFS8qJzpQRO9hnZUvNJaA",Data Junho,2026-06-07
Último Sabado, 17h , Jd. Doraly ,"https://www.waze.com/en/live-map/directions/br/sp/r.-ferrucio-biondi,-105?place=ChIJKQoHFGj0zpQRdj7-rNHj8pE",Data Junho,2026-05-30
Segundo Sabado, 17h , Jd. Dos Cardosos ,"https://www.waze.com/en/live-map/directions/br/sp/r.-onze,-225?place=ChIJjevjCZn0zpQRw4-f32xTQpg",Data Junho,2026-06-13
Último Sabado, 17h , Jd. Eliana ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-de-fatima-kida,-326?place=ChIJmyo3Ta6KzpQRU_Caau5N9Pw",Data Junho,2026-05-30
Quarto Sabado, 17h , Jd. Fátima ,"https://www.waze.com/en/live-map/directions/br/sp/r.-monica-aparecida-moredo,-148?place=ChIJR-_bKtOJzpQRaZ6zl4NnlHY",Data Junho,2026-06-27
Primeiro Sabado, 17h , Jd. Flor Montanha ,"https://www.waze.com/en/live-map/directions/br/sp/r.-formosa,-145?place=ChIJEbJNUxr1zpQRzkZb7khhsGc",Data Junho,2026-06-06
Último Domingo, 16h , Jd. Fortaleza - III ,"https://www.waze.com/en/live-map/directions/br/sp/r.-joao-alves-de-souza-reis-filho,-136?place=ChIJuWu4DfmLzpQRSo70ZuAHWXI",Data Junho,2026-05-31
Primeiro Sabado, 17h , Jd. Fortaleza ,"https://www.waze.com/en/live-map/directions/br/sp/r.-edmundo-pereira,-114?place=ChIJiQ9WCeOLzpQRX_aJSNxrmUM",Data Junho,2026-06-06
Segundo Sabado, 17h , Jd. Fortaleza II ,"https://www.waze.com/en/live-map/directions/br/sp/r.-luis-caputo,-573?place=ChIJR9N_mvaLzpQRNRQv6jm6Uoo",Data Junho,2026-06-13
Primeiro Sabado, 19:30h , Jd. Gracinda ,"https://www.waze.com/en/live-map/directions/br/sp/av.-alexandre-grandisoli,-653?place=ChIJmYXkH_H0zpQRPK-qtsLyoeA",Data Junho,2026-06-06
Segundo Sabado, 17h , Jd. Guilhermino ,"https://www.waze.com/en/live-map/directions/br/sp/r.-witmorsum,-113?place=ChIJcf6irBVizpQRQgaqiSX_0SU",Data Junho,2026-06-13
Terceiro Sabado, 19:30h , Jd. Hanna ,"https://www.waze.com/en/live-map/directions/br/sp/r.-paulo-henrique-groke,-30?place=ChIJmZAu0pyJzpQRxl8izKtlqOc",Data Junho,2026-06-20
Último Domingo, 16h , Jd. Iporanga ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eng.-paulo-frontim,-145?place=ChIJNRU0ViD1zpQRYzzkbxUmhs4",Data Junho,2026-05-31
Primeiro Sabado, 19:30h , Jd. Itapuã ,"https://www.waze.com/en/live-map/directions/br/sp/r.-bandeira-paulista,-146?place=ChIJ9dcdQt30zpQRj6ybV2bCGbI",Data Junho,2026-06-06
Quarto Domingo, 16h , Jd. Jacy ,"https://www.waze.com/en/live-map/directions/br/sp/r.-constantina,-128?place=ChIJ_aiE2QhjzpQR8u1KMzBYoWA",Data Junho,2026-06-28
Primeiro Sabado, 19:30h , Jd. Jade ,"https://www.waze.com/en/live-map/directions/br/sp/r.-piaui,-469?place=ChIJn_HW5i2KzpQRQOurEH3nvSg",Data Junho,2026-06-06
Último Sabado, 19:30h , Jd. Jovaia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-grao-para,-124?place=ChIJb74Ugir1zpQRlFw-Q4hfpJg",Data Junho,2026-05-30
Primeiro Sabado, 17h , Jd. Julieta ,"https://www.waze.com/en/live-map/directions/br/sp/r.-souza-reis,-4?place=ChIJy-wCdrH0zpQRx1PPqAJJ80A",Data Junho,2026-06-06
Quarto Domingo, 16h , Jd. Leda ,"https://www.waze.com/en/live-map/directions/br/sp/rua-madame-curie,-551?place=ChIJ8wugNBL1zpQRm1D1NUh0DiM",Data Junho,2026-06-28
Primeiro Domingo, 16h , Jd. Lenize ,"https://www.waze.com/en/live-map/directions/br/sp/r.-angicos,-164?place=ChIJ_wZqGsmLzpQRbF2D-d_ntqk",Data Junho,2026-06-07
Quarto Domingo, 16h , Jd. Maria Dirce ,"https://www.waze.com/en/live-map/directions/br/sp/r.-joao-alves-da-silva,-101?place=ChIJDTNNQOSJzpQRHTeBDOheq_0",Data Junho,2026-06-28
Segundo Sabado, 19:30h , Jd. Marilena ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-jose-alves,-184?place=ChIJlakWDh-LzpQRoDIBwVPlTgM",Data Junho,2026-06-13
Último Domingo, 16h , Jd. Monte Alegre ,"https://www.waze.com/en/live-map/directions/br/sp/r.-manuel-calles,-250?place=ChIJ-YM6YThizpQR_Gcx-0j6RwE",Data Junho,2026-05-31
Quarto Sabado, 17h , Jd. Munhoz ,"https://www.waze.com/en/live-map/directions/br/sp/av.-santana,-571?place=ChIJZeZPWHVfzpQR8s9cwjAre0s",Data Junho,2026-06-27
Segundo Sabado, 17h , Jd. Munira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-servidao-da-passagem,-246?place=ChIJkxmse6aLzpQRxANMMbcqAGE",Data Junho,2026-06-13
Quarto Domingo, 16h , Jd. Normandia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jararatuba,-146?place=ChIJOcRWmIpizpQRGY5ABmPcGJs",Data Junho,2026-06-28
Segundo Sabado, 17h , Jd. Nova Canaã ,https://www.waze.com/en/live-map/directions/br/sp/congregacao-crista-no-brasil?place=ChIJc2bvdpJizpQRXG7isbWf5gU,Data Junho,2026-06-13
Primeiro Domingo, 16h , Jd. Nova Cumbica ,https://www.waze.com/en/live-map/directions/br/sp/ccb-jardim?place=ChIJ3bvRFNthzpQRTPzZ15sIoWU,Data Junho,2026-06-07
Terceiro Sabado, 17h , Jd. Novo Portugal ,"https://www.waze.com/en/live-map/directions/br/sp/av.-marcial-lourenco-serodio,-529?place=ChIJ7Yx-CDaKzpQR0ZSGeO4uJgQ",Data Junho,2026-06-20
Quarto Domingo, 16h , Jd. Oliveira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-utinga,-325?place=ChIJVectTRFizpQR4wb4tNUVsr0",Data Junho,2026-06-28
Quarto Domingo, 16h , Jd. Otawa ,"https://www.waze.com/en/live-map/directions/br/sp/r.-japura,-80?place=ChIJi6IjoeRhzpQR_YWdws7S1K0",Data Junho,2026-06-28
Segundo Sabado, 17h , Jd. Palmira ,"https://www.waze.com/en/live-map/directions/br/sp/r.-vivencia-espirito-santo,-47?place=ChIJ7YhQslv0zpQR-zZY2de_Tyk",Data Junho,2026-06-13
Segundo Sabado, 17h , Jd. Papai ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sd.-romeu-cocco,-299?place=ChIJsQpTwFT0zpQRyIEeHk56Yj8",Data Junho,2026-06-13
Quarto Domingo, 16h , Jd. Paraíso - Tab. ,"https://www.waze.com/en/live-map/directions/br/sp/r.-taquarituba,-107?place=ChIJtViUSyWLzpQRZIgGqFG5hS8",Data Junho,2026-06-28
Primeiro Domingo, 16h , Jd. Pinhal ,"https://www.waze.com/en/live-map/directions/br/sp/av.-avelino-alves-machado,-197?place=ChIJhSonck_1zpQR-3Qj7Pc1HZU",Data Junho,2026-06-07
Primeiro Sabado, 17h , Jd. Ponte Alta ,"https://www.waze.com/en/live-map/directions/br/sp/r.-jose-luis-alves-de-souza,-127?place=ChIJ9XpqiLuJzpQR_cI7Jb-w3Ho",Data Junho,2026-06-06
Último Domingo, 16h , Jd. Ponte Alta II ,"https://www.waze.com/en/live-map/directions/br/sp/av.-luiz-gonzaga-do-nascimento,-494?place=ChIJz9KJ25-JzpQRqUIHG0Y24vk",Data Junho,2026-05-31
Primeiro Sabado, 17h , Jd. Pres. Dutra ,"https://www.waze.com/en/live-map/directions/br/sp/praca-alvorada-do-sul,-24?place=ChIJAQDU3vmJzpQRUv2NBKdftJs",Data Junho,2026-06-06
Segundo Sabado, 17h , Jd. Rosa De França ,"https://www.waze.com/en/live-map/directions/br/sp/av.-jose-antonio-cabral,-429?place=ChIJC9dEJwL1zpQRh1NI0jY2MQA",Data Junho,2026-06-13
Primeiro Sabado, 17h , Jd. Santa Bárbara ,"https://www.waze.com/en/live-map/directions/br/sp/r.-maria-de-fatima-kida,-326?place=ChIJmyo3Ta6KzpQRU_Caau5N9Pw",Data Junho,2026-06-06
Primeiro Domingo, 16h , Jd. Santa Paula ,"https://www.waze.com/en/live-map/directions/br/sp/r.-altamiro-mathias-goes,-479?place=ChIJD0dPeZaJzpQR9OoZ7cRdbvQ",Data Junho,2026-06-07
Primeiro Sabado, 17h , Jd. Santa Rita ,"https://www.waze.com/en/live-map/directions/br/sp/r.-bueno-brandao,-262?place=ChIJjQfT2d6KzpQRdVyQItfq22I",Data Junho,2026-06-06
Quarto Domingo, 16h , Jd. Santo Afonso ,"https://www.waze.com/en/live-map/directions/br/sp/av.-marginal,-170?place=EkpBdi4gTWFyZ2luYWwsIDE3MCAtIEphcmRpbSBTYW50byBBZm9uc28sIEd1YXJ1bGhvcyAtIFNQLCAwNzIxNS0wMjAsIEJyYXppbCIxEi8KFAoSCR0k1FSGYc6UEWRfJyPehsEVEKoBKhQKEgkbgXC4h2HOlBHWkrd6xreKRA",Data Junho,2026-06-28
Terceiro Sabado, 17h , Jd. São Domingos ,"https://www.waze.com/en/live-map/directions/br/sp/estr.-elenco,-2005?place=ChIJbbvzVheLzpQRgl3VMuto-Ow",Data Junho,2026-06-20
Terceiro Sabado, 17h , Jd. São Paulo ,"https://www.waze.com/en/live-map/directions/br/sp/r.-uganda,-156?place=ChIJedZlkyX1zpQRwWjyVaZbQxg",Data Junho,2026-06-20
Terceiro Sabado, 19:30h , Jd. Silvia ,"https://www.waze.com/en/live-map/directions/br/sp/r.-sao-gabriel-da-palha,-49?place=ChIJr4nn5iiLzpQRCces2bmipkk",Data Junho,2026-06-20
Segundo Sabado, 17h , Jd. Vila Galvão ,"https://www.waze.com/en/live-map/directions/br/sp/r.-artur-rodrigues-alcantara,-333?place=ChIJA4gpWJj1zpQRsxM7HRuUpHM",Data Junho,2026-06-13
Segundo Sabado, 19h , Jd. Vila Rica ,"https://www.waze.com/en/live-map/directions/br/sp/r.-felicidade-batista-cardoso,-8?place=ChIJiUdWZcaLzpQRFD0VG90tuO8",Data Junho,2026-06-13
Primeiro Sabado, 17h , Jd. Vila Rica 2 ,"https://www.waze.com/en/live-map/directions/br/sp/r.-eduardo-abad,-6?place=ChIJD2j2asOLzpQRH5d_uBoXN2k",Data Junho,2026-06-06
